Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
39	211.89644	26.256714	240.38306	172.03003	607.0	43.411198	0.1492757	43.54842	42.733887	160000	1.1920929e-09	5200.924	-0.00793552	-530.5508	0.88204813	0.011267093	0.08125	79.0	186.65464878082275
40	180.949	40.138783	219.43748	107.24852	676.0	47.431293	0.27540106	47.607853	45.52613	164000	2.3007393e-08	2452.4424	-0.0072360514	-233.7915	0.90789723	0.005949401	0.06575	79.0	193.09630489349365
41	148.33261	76.34826	254.05693	19.766972	767.8	49.834995	1.0772144	50.37735	37.341316	168000	2.43783e-08	3140.1855	-0.0054858336	-41.208984	0.8202581	0.004382414	0.04675	79.0	200.7855269908905
42	146.65459	71.39771	202.48193	-5.5114627	654.5	51.214333	0.6250099	51.51273	46.84637	172000	-1.3351441e-08	5067.084	-0.0059215412	-112.38135	0.9060964	0.006779171	0.0465	79.0	206.56684589385986
43	77.19016	74.027985	183.3667	-25.850813	886.5	53.120964	0.41411936	53.304092	48.79797	176000	-5.4836273e-09	3199.5176	-0.006561358	-63.321045	0.85880613	0.008007865	0.06475	79.0	213.88313102722168
44	153.61658	34.595856	179.7212	95.05343	797.75	52.00126	0.10020166	52.057076	50.545605	180000	6.854534e-10	1328.856	-0.0038707727	-13.984253	0.9502267	0.005026656	0.028	79.0	221.01481699943542
45	12.750299	30.791672	44.66634	-22.53913	971.5	51.970257	2.3551729	52.62252	24.03988	184000	7.629395e-09	4091.6025	-0.0054395627	-1406.1174	0.9152998	0.005216773	0.1075	79.0	227.7572910785675
46	110.87845	86.9412	194.69191	-32.238483	926.25	44.333313	12.003054	49.73294	-14.9448395	188000	-1.1891126e-08	2837.819	-0.0057919333	-442.4441	0.9497107	0.006811744	0.07375	79.0	235.8536651134491
47	166.09953	28.270763	206.01375	131.8085	855.0	48.991047	0.24361303	49.233444	48.01419	192000	8.702278e-09	1187.9153	-0.0050341426	-60.40576	0.927579	0.00531151	0.068	79.0	243.5699348449707
48	18.886845	133.12149	186.23958	-97.11028	661.0	50.123024	0.46864268	50.5775	33.735256	196000	-1.6093255e-09	10391.797	-0.009941915	-3196.309	0.99025524	0.007882243	0.0875	79.0	249.9704761505127
49	52.816444	55.12837	139.77147	-11.8905945	990.0	14.691283	13.474777	46.72515	-23.09983	200000	-1.40070915e-08	1859.4263	-0.006899482	-239.0597	0.9582633	0.0053991154	0.09925	79.0	258.2197279930115
