Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
57	7242.5312	187.62654	7484.604	6994.6377	7953.2354	167.95587	8276.961	7601.2695	1000.0	1000.0	285000	581.2491	126.67687	713.4936	-308.23315	581.2489	126.67648	710.7525	-314.58682	-583.8001	56.78068	4474.23681807518
58	7688.243	139.19878	7881.6313	7484.4736	8151.466	118.965065	8335.645	7979.7197	1000.0	1000.0	290000	583.9318	128.25551	721.7809	-277.31738	583.93243	128.25697	715.08417	-276.31195	-586.2283	59.210938	4557.773646831512
59	7630.0454	278.64194	7990.593	7262.5024	8048.0635	113.12611	8209.681	7827.9795	1000.0	1000.0	295000	587.1393	128.86049	714.2345	-280.65228	587.13983	128.8586	714.3352	-286.29788	-589.592	60.880363	4634.942765951157
60	7819.7524	140.18126	7956.4937	7551.7896	8010.4087	123.37725	8260.683	7845.7637	1000.0	1000.0	300000	590.1161	129.40086	721.258	-283.0852	590.1162	129.39969	719.93866	-288.18918	-592.7888	59.26719	4715.062317848206
61	7505.522	269.69394	7801.8496	7053.454	7731.306	116.61152	7858.658	7474.1313	1000.0	1000.0	305000	593.05884	130.45291	721.3862	-317.9395	593.0592	130.4533	721.89844	-319.06433	-595.63574	59.21131	4789.798240184784
62	7640.431	117.96005	7828.143	7485.382	8142.8857	103.76273	8296.377	7968.648	1000.0	1000.0	310000	596.4481	129.74641	727.8945	-316.36008	596.44824	129.74545	723.7854	-318.1945	-598.8475	57.512413	4865.4758150577545
63	7634.3633	303.81393	7827.5786	7030.6875	7728.1914	135.27316	7916.969	7488.521	1000.0	1000.0	315000	599.2093	130.019	725.16315	-304.84198	599.20996	130.02005	724.4846	-305.46646	-601.3875	58.55511	4935.366302013397
64	7538.7266	440.05316	7990.024	6851.054	7899.681	58.13636	7966.808	7760.429	1000.0	1000.0	320000	601.8278	129.64693	726.7678	-305.9318	601.82776	129.64525	725.9349	-316.22253	-604.5995	58.37591	5015.881428003311
65	7777.0586	179.09673	8121.727	7643.1655	8121.694	124.99013	8303.678	7926.9775	1000.0	1000.0	325000	604.5674	129.22156	729.6146	-309.28073	604.5679	129.21967	728.16516	-317.3201	-606.6105	56.95473	5091.646363019943
66	7680.28	176.04507	7951.1094	7405.31	7915.7393	64.11518	8001.439	7796.656	1000.0	1000.0	330000	607.3773	127.74866	729.81177	-301.5145	607.3776	127.74876	730.2201	-302.4916	-609.8898	58.46443	5173.765024185181
